id,name,util,f0,v3_failed,v3_base,f_guided,delta_guided,delta_random,improvement,demote,promote
18,sys_18,0.5818181818181818,2572.1193473612707,False,278.37386153204403,2050.3780566831697,-521.741290678101,-184.9317534169348,336.80953726116616,task2_3,task2_0
19,sys_19,0.5863636363636363,428.6755467364206,False,244.91664039607045,1311.1576021898634,882.4820554534429,45.68195726010532,-836.8000981933376,task1_3,task2_0
20,sys_20,0.5909090909090909,311.7196259057495,False,160.3485163653999,3670.1658539604887,3358.446228054739,29.055991418858422,-3329.3902366358807,task0_1,task2_1
21,sys_21,0.5954545454545455,3641.5028696248396,False,285.75485572075644,524.3317928031546,-3117.171076821685,366.4309828772797,3483.6020596989647,task2_3,task2_0
22,sys_22,0.6,766.5905442509328,False,254.6734753402843,482.0784443608636,-284.5120998900692,888.2890459570974,1172.8011458471665,task2_3,task2_0
23,sys_23,0.6045454545454545,1782.7756163703525,False,314.55739602529303,2737.628827835603,954.8532114652503,-176.76348258295553,-1131.6166940482058,task1_3,task2_0
24,sys_24,0.6090909090909091,2055.947245405246,False,214.52116782045286,2053.464470153165,-2.4827752520809554,-322.12264215320505,-319.6398669011241,task1_2,task1_0
25,sys_25,0.6136363636363636,1160.2962358808124,False,374.6073947742577,884.1679936223954,-276.128242258417,662.0824347307843,938.2106769892013,task0_3,task0_0
26,sys_26,0.6181818181818182,380.5195479415179,False,210.80925315435493,366.76687769301975,-13.752670248498134,71.65484756125093,85.40751780974907,task1_3,task1_0
27,sys_27,0.6227272727272727,514.4463650277411,False,210.12384498627281,224.47328668647967,-289.9730783412614,-63.18466127525441,226.78841706600696,task0_3,task0_1
28,sys_28,0.6272727272727272,383.3874176382212,False,204.5814814569878,348.06102988080085,-35.32638775742038,-8.790128427749483,26.536259329670894,task1_3,task1_1
29,sys_29,0.6318181818181818,799.042412862771,False,416.31006902539974,4892.513122413084,4093.4707095503127,851.8893165758388,-3241.5813929744736,task0_3,task1_0
30,sys_30,0.6363636363636364,3317.6270458091426,False,732.2017911633885,1716.6416395786403,-1600.9854062305023,118.42563535169202,1719.4110415821945,task2_3,task0_0
