id,seed,name,n_flows,n_tasks,n_procs,utilization,holistic_invslack,holistic_system_slack,holistic_avg_wcrt,holistic_max_wcrt,holistic_schedulable,V1_iter_invslack,V1_iter_system_slack,V1_iter_avg_wcrt,V1_iter_max_wcrt,V1_iter_schedulable,V2_2pass_invslack,V2_2pass_system_slack,V2_2pass_avg_wcrt,V2_2pass_max_wcrt,V2_2pass_schedulable,V2_5pass_invslack,V2_5pass_system_slack,V2_5pass_avg_wcrt,V2_5pass_max_wcrt,V2_5pass_schedulable,V3_oneshot_invslack,V3_oneshot_system_slack,V3_oneshot_avg_wcrt,V3_oneshot_max_wcrt,V3_oneshot_schedulable
18,1018,sys_18,3,12,3,0.5818181818181818,9.253911938628429,-9.253911938628429,2572.1193473612707,5599.134049674571,False,9.30393659406208,-9.30393659406208,2401.459900113043,5626.4499417202815,False,-0.2570819219413797,0.2570819219413797,317.225354651614,405.66936130067995,True,1.0145926854099299,-1.0145926854099299,672.7107789837227,1100.065474388391,False,inf,-inf,inf,inf,False
19,1019,sys_19,3,12,3,0.5863636363636363,1.7141747459368555,-1.7141747459368555,428.6755467364206,684.3820560008462,False,0.10050362572837607,-0.10050362572837607,257.6319303712967,369.6913550912101,False,-0.05659286992260334,0.05659286992260334,232.69632216799027,337.1519989376223,True,0.09193779854655891,-0.09193779854655891,256.313699047754,367.94986847127507,False,0.10050362572837584,-0.10050362572837584,257.6319303712966,369.6913550912101,False
20,1020,sys_20,3,12,3,0.5909090909090909,0.4580627379290924,-0.4580627379290924,311.7196259057495,482.5802851253503,False,-0.26924514053072685,0.26924514053072685,179.91928702679192,241.86057243345238,True,-0.4033468118743509,0.4033468118743509,157.99155237119268,203.8830248102275,True,-0.2789869480189289,0.2789869480189289,178.45843865834112,238.63629126022246,True,-0.26924514053072696,0.26924514053072696,179.91928702679186,241.86057243345235,True
21,1021,sys_21,3,12,3,0.5954545454545455,9.001344170275354,-9.001344170275354,3641.5028696248396,4224.209138123429,False,9.619797008646557,-9.619797008646557,3821.2121868985582,4485.421439876872,False,-0.4333390645474231,0.4333390645474231,197.1716112664442,239.3372591726781,True,0.154736026864228,-0.154736026864228,374.578843987889,487.71908992968065,False,0.09128135224486697,-0.09128135224486697,196.8642614908847,460.91811079925503,False
22,1022,sys_22,3,12,3,0.6,1.8368661975778544,-1.8368661975778544,766.5905442509328,1266.5823985396573,False,0.7075316933602971,-0.7075316933602971,515.2951657918694,762.3657363908558,False,-0.011195003324709433,0.011195003324709433,345.7971743110782,441.47411867584805,True,0.5109375124772445,-0.5109375124772445,469.0510827185196,674.591864865157,False,0.7075316933602976,-0.7075316933602976,515.2951657918696,762.365736390856,False
23,1023,sys_23,3,12,3,0.6045454545454545,6.940578605416382,-6.940578605416382,1782.7756163703525,3943.6696525221932,False,3.828490275846374,-3.828490275846374,1163.953970881732,2398.058317232079,False,-0.1099611194964693,0.1099611194964693,341.76549536243823,442.03571263841735,True,1.2412402952856114,-1.2412402952856114,648.326253077306,1113.10671120348,False,3.828490275846376,-3.828490275846376,1163.9539708817324,2398.05831723208,False
24,1024,sys_24,3,12,3,0.6090909090909091,9.121675434602391,-9.121675434602391,2055.947245405246,5308.325110924944,False,9.530353161883578,-9.530353161883578,4445.359692912576,7499.812363773617,False,-0.2957007362928512,0.2957007362928512,314.6464271167102,501.6082789005636,True,-0.11118238018647372,0.11118238018647372,371.8211183185255,633.0239139885573,True,-0.24764833633126815,0.24764833633126815,311.54702176057424,535.8316309383041,True
25,1025,sys_25,3,12,3,0.6136363636363636,9.084288942092622,-9.084288942092622,1160.2962358808124,2652.378662817311,False,15.916572421678621,-15.916572421678621,1667.2600218822233,4449.411951295518,False,1.0257778882503796,-1.0257778882503796,300.1353988572174,532.8219051691932,False,16.848937380309522,-16.848937380309522,1775.0579666549374,4694.6434134672045,False,inf,-inf,inf,inf,False
26,1026,sys_26,3,12,3,0.6181818181818182,1.10071869595063,-1.10071869595063,380.5195479415179,636.9241873136389,False,0.21128318183598613,-0.21128318183598613,245.7404208855502,367.25314897454285,False,0.02072963095979938,-0.02072963095979938,224.90207843995506,309.4785569906213,False,0.20465484171532264,-0.20465484171532264,245.05582437537555,365.24347954439503,False,0.2112831818359863,-0.2112831818359863,245.74042088555026,367.2531489745429,False
27,1027,sys_27,3,12,3,0.6227272727272727,2.1617549712748274,-2.1617549712748274,514.4463650277411,1232.7351204668432,False,1.0059186000241724,-1.0059186000241724,343.50307453203067,782.0866352747298,False,0.04265646293483655,-0.04265646293483655,216.1372060148732,406.52082533874045,False,0.6142825455520234,-0.6142825455520234,292.5784127899454,629.391842928369,False,1.0059186000241713,-1.0059186000241713,343.5030745320305,782.0866352747294,False
